,ina,fin
0,lɑsetːið,lisætæ
1,æʃːi,ɑsiɑ
2,ɑhe,ikæ
3,juo,jo
4,ɑin,ɑi̯nɑ
5,meːri,mæːræ
6,jæ,jɑ
7,elːeː,elæi̯n
8,kietɐverdi,kæsiʋɑrsi
9,ɲuolɐ,nuo̯li
10,koijɐdið,kysyæ
11,pivdeð,pyːtæː
12,selɡi,selkæ
13,hyeni,huo̯no
14,lɑvkːɐ,lɑu̯kːu
15,li̯æibuð,lei̯poɑ
16,korːɐ,kuo̯ri
17,eːlːið,elæː
18,elːeː,elæʋæ
19,sutːɐð,suːtːuɑ
20,ʃodːɐð,syntyæ
21,ælɡið,ɑlkɑː
22,myerji,mɑrjɑ
23,lodːe,lintu
24,ʃoːhɐd,sokeɑ
25,vorːɐ,ʋeri
26,tult͡sːe,tylsæ
27,lyevdi,lɑu̯tɑ
28,voːnɐs,ʋene
29,ruːmɐʃ,ruːmis
30,kirje,kirjɑ
31,u̯æksi,oksɑ
32,leibi,lei̯pæ
33,ʃɑlde,siltɑ
34,viʎɐ,ʋeli
35,lihɐdið,liːkɑhtɑː
36,ki̯æstu,kimpːu
37,pyelːið,pɑlɑː
38,u̯æstið,ostɑː
39,kot͡ʃːoð,kutsuɑ
40,kyedːið,kɑntɑː
41,mutːeð,muːtːɑː
42,rɑdːe,rintɑ
43,kæːni,kɑnɑ
44,t͡ʃuoijɐð,soi̯dɑ
45,kod͡zːɐ,kynsi
46,putestið,puhdistɑː
47,polvɐ,pilʋi
48,ridːo,rɑnːikːo
49,kirjæː,kirjɑʋɑ
50,servi,seurɑ
51,lɑhteð,liːtːæː
52,ɑlmotːið,ilmoi̯tːɑː
53,vɑlmɐʃtið,ʋɑlmistɑː
54,vuoiɡɐ,oi̯keɑ
55,lyeʃtið,lɑskeɑ
56,ki̯æhtu,kehto
57,kuorɡɐ,kurki
58,vuorɐt͡ʃ,ʋɑris
59,kiehɐ,kæki
60,virde,ʋirtɑ
61,vɑhɐɡitːið,ʋɑhiŋːoi̯tːɑː
62,vɑːhɐɡ,ʋɑhiŋko
63,peivi,pæi̯ʋæ
64,ræːhis,rɑkɑs
65,imːeːl,jumɑlɑ
66,hevɐtːið,hæʋitːæː
67,ereslævæn,erilɑi̯nen
68,ku̯æivuð,kɑi̯ʋɑː
69,jyeḥið,jɑkɑː
70,vu̯ælus,ɑlɑs
71,juːḥɐð,juo̯dɑ
72,ɑːsːɐð,ɑsuɑ
73,ku̯æskim,kotkɑ
74,mɑne,munɑ
75,lopːɐ,lopːu
76,vɑjɑlɐʃ,ʋiholːinen
77,t͡ʃɑlme,silmæ
78,peːrɐ,perhe
79,eːt͡ʃi,isæ
80,poːlːɐð,pelætæ
81,tubdɐð,tunteɑ
82,æiði,ɑi̯tɑ
83,suormɐ,sormi
84,kod͡zːɐ,kynsi
85,kuosɐ,kuːsi
86,tulːɐ,tuli
87,kyeli,kɑlɑ
88,ku̯ælæstið,kɑlɑstɑː
89,vitːɐ,ʋiːsi
90,pɑtɐrið,pɑetɑ
91,kukːæ,kukːɑ
92,ki̯ærpæʃ,kærpænen
93,jyelɡi,jɑlkɑ
94,neʎi,neljæ
95,ji̯æŋːuð,jæːtyæ
96,tæstæn,tæstæ
97,pɑsːeːð,pɑi̯stɑː
98,tievɐs,tæy̯si
99,jive,jyʋæ
100,nijtːo,niːtːy
101,hævdi,hɑu̯tɑ
102,muːrɐʃ,murhe
103,peːli,puo̯li
104,kietɐ,kæsi
105,koːrɐs,kireæ
106,syeini,hei̯næ
107,tiervɐsvuotɐ,terʋeys
108,kuːlːɐð,kuːlːɑ
109,kume,kuːmɑ
110,estið,estæː
