,spa,fre
0,aboliða,aboli
1,aboliðo,aboli
2,abɾil,avʁil
3,absoluta,absoly
4,abstɾakta,abstʁɛt
5,absuɾðo,absyʁd
6,akaðemjas,akademi
7,akaðemiko,akademik
8,aksesible,aksɛsibl
9,aksiðental,aksidɑ̃tɛl
10,aksiðentalmente,aksidɑ̃tɛləmɑ̃
11,asepta,aksɛpt
12,aseptaɾ,aksɛpte
13,akompaɲaɾ,akɔ̃paɲe
14,aktituðes,atityd
15,aktibaðo,aktive
16,aktibamente,aktivəmɑ̃
17,aktibos,aktif
18,aktos,akt
19,akwaɾjo,akwaʁjɔm
20,akweɾðos,akɔʁ
21,akusasiones,akyzasjɔ̃
22,aðaptasiones,adaptasjɔ̃
23,aðministɾaðoɾ,administʁatœʁ
24,aðministɾaðoɾes,administʁatœʁ
25,aðministɾatiba,administʁativ
26,aðministɾatibamente,administʁativəmɑ̃
27,aðministɾatibas,administʁativ
28,aðmiɾasion,admiʁasjɔ̃
29,aðolessentes,adolɛsɑ̃
30,aðkisisiones,akizisjɔ̃
31,aðwana,dwan
32,aðwanas,dwan
33,aeɾopweɾtos,aeʁopɔʁ
34,afɣano,afɡɑ̃
35,afɾikano,afʁikɛ̃
36,axensias,aʒɑ̃s
37,aɣɾesiba,aɡʁɛsiv
38,aɣɾesibo,aɡʁɛsif
39,aɣɾikultoɾes,aɡʁikyltœʁ
40,aɣɾikola,aɡʁikɔl
41,albanesa,albanɛz
42,alemanas,aləmɑ̃d
43,alemanes,aləmɑ̃
44,aleman,aləmɑ̃
45,alimentaða,alimɑ̃te
46,alimentaɾja,alimɑ̃tɛʁ
47,altamente,otəmɑ̃
48,alteɾna,altɛʁn
49,alteɾnansia,altɛʁnɑ̃s
50,alteɾnatiba,altɛʁnativ
51,alteɾnatibas,altɛʁnativ
52,amenasaɾ,mənase
53,ameɾikanos,ameʁikɛ̃
54,amiɣas,ami
55,analista,analist
56,analistas,analist
57,analoxia,analoʒi
58,analitikos,analitik
59,analoxikas,analoʒik
60,anaɾkistas,anaʁʃist
